SKU	Brand	Line	Vitola	Wrapper	Binder	Filler	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Strength	Tier	MSRP	Length	Ring	Catalog Line	Member Blurb	Best For	Avoid If	Why Recommend	Data Grade	CA Rating	Stick Size	Repr Vitola	Origin	Factory	Beginner Safe
BB24-21-OSCAR-2012	2012 by Oscar Valladares	Connecticut	Short Robusto	Ecuador Connecticut	Honduras	Honduras / Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	22	4.75	50	Padron Serie 1926 No. 6 · 4¾ × 50 · Robusto · Full · Nicaragua · $22 · Notes: cocoa, coffee, earth, dark sweetness	Short 1926 format with full Padron cocoa-coffee DNA — dense flavor in under an hour. Collector 1926 without committing to a double corona.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/2012-by-oscar-valladares-connecticut-short-robusto-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2024 Best Buy list.	10		4¾ × 50 · Robusto				Yes
CA24-18-601-WARHEAD	601	La Bomba	Warhead X	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cocoa, earth, pepper, espresso, dark sweetness	5	6	7	4	42	Oliva Connecticut Reserve · 4 × 42 · Petit Corona · Medium-Light · Nicaragua · $7 · Notes: cream, cedar, nuts, toast	Oliva Connecticut petit corona - cream, cedar, beginner-safe. Pairs with coffee breaks.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/601-la-bomba-warhead-x-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, La Bomba, or a full bourbon-friendly smoke at this size.	10		4 × 42 · Petit Corona				No
BB24-17-7204-DOG	7-20-4	Factory 57	Dog Walker	Honduras	Honduras	Honduras / Nicaragua	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, spice, earth, leather, toasted tobacco	3	3	18	4.63	54	Davidoff Zino Platinum Crown Series · 4.625 × 54 · Robusto · Medium · Dominican · $18 · Notes: cream, cedar, nuts, toast	Davidoff Zino platinum polish - cream, toast, and champagne-friendly elegance in a chubby 54-ring.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/7-20-4-factory-57-dog-walker-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2024 Best Buy list.	10		4.625 × 54 · Robusto				Yes
VID-06-AJF-BELLAS-ROB	A.J. Fernandez	Bellas Artes	Maduro Robusto	Brazilian Mata Fina	Mexico	Nicaragua / Honduras	Brazilian Mata Fina wrapper sets top-note, color, and burn for this vitola.	Mexico binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	anise, coffee, cashew, tangy, acidity	3	4	12	6.5	52	Cuesta-Rey Centro Fino Sungrown Pyramid No. 9 · 6½ × 52 · Pyramid · Medium-Full · Dominican · $12 · Notes: sweet spice, cedar, toasted tobacco, earth	Fuente-made Dominican with Ecuador sungrown lift — sweeter spice and cedar in a pyramid that smokes richer than a mild Connecticut.	Verified against https://www.cigaraficionado.com/rating/bellas-artes-maduro-robusto.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching Bellas Artes identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6½ × 52 · Pyramid				Yes
VID-05-AJF-DDG-TORO	A.J. Fernandez	Dias de Gloria	Toro	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	leather, pepper, cinnamon, café au lait, dark chocolate	4	4	11	7	58	Romeo y Julieta Wide Churchill · 7 × 58 · Churchill · Medium · Dominican · $11 · Notes: cedar, wood, earth, leather	Wide Churchill format — Indonesian wrapper and long, easy-burning Dominican session. Mild-to-medium crowd-pleaser.	Verified against https://www.cigaraficionado.com/ratings/25666/name/dias-de-gloria-brazil-toro.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Dias de Gloria identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		7 × 58 · Churchill				Maybe
VID-09-AJF-ENCLAVE-ROB	A.J. Fernandez	Enclave Broadleaf	Robusto	Connecticut Broadleaf	Nicaragua	Nicaragua	Connecticut Broadleaf wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	earth, mineral, milk chocolate, vanilla, anise	4	4	14	6	52	Arturo Fuente Rosado Sungrown Fifty-Two · 6 × 52 · Toro · Medium-Full · Dominican · $14 · Notes: cedar, baking spice, sweet tobacco, toast	Fuente rosado sungrown spice - cedar, red pepper, and polished Ecuador wrapper over classic Dominican core. Special-occasion Fuente without OpusX.	Verified against https://www.cigaraficionado.com/top25cigar/enclave-broadleaf-churchill-2019.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Enclave Broadleaf identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6 × 52 · Toro				Maybe
VID-07-AJF-AMISTAD-ROB	A.J. Fernandez	Hoyo La Amistad Dark Sumatra	Robusto	Ecuador Sumatra	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Hoyo La Amistad Dark Sumatra in Robusto - Nicaraguan A.J. Fernandez production, dark Sumatra profile, and fuller-bodied regional/flavor identity.	Ecuador Sumatra wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	earth, cocoa, leather, pepper, cedar	4	4	6	5	42	Cain Daytona No. 4 · 5 × 42 · Corona · Medium-Light · Nicaragua · $6 · Notes: cream, cedar, nuts, toast	Mild Connecticut Nicaraguan - cream and gentle spice for morning or new smokers. Budget backup stick.	Verified against https://www.cigaraficionado.com/top25cigar/enclave-broadleaf-churchill-2019.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Hoyo La Amistad Dark Sumatra identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		5 × 42 · Corona				Maybe
VID-10-AJF-LASTCALL-COR	A.J. Fernandez	Last Call Maduro	Corona	San Andrés Maduro	Nicaragua	Nicaragua	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	oak, vanilla, toasty, charry	3	3	7	6	60	Punch Knuckle Buster Shade · 6 × 60 · Gordo · Medium-Light · Honduras · $7 · Notes: cream, cedar, nuts, toast	Long-session Knuckle Buster gordo - mild shade for movie-length smokes on a budget.	Verified against https://www.cigaraficionado.com/ratings/21078/name/last-call-maduro-by-aj-fernandez-corticas-odd.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching Last Call Maduro identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6 × 60 · Gordo				Yes
CA25-07-NASSER-GOAT	A.J. Fernandez	Nasser The Goat	Toro	Mexico	Nicaragua	Nicaragua	Mexican San Andres wrapper adds dark earth, cocoa, and sweetness.	Nicaraguan binder gives structure and A.J. Fernandez intensity.	Nicaraguan filler drives pepper, body, and dark regional strength.	chocolate-covered almonds, vanilla, earth, coffee, raisin, coconut rum cake	5	5	3	6.5	44	Don Pepin Garcia Original · 4 × 32 · Petit Corona · Medium-Full · Nicaragua · $3 · Notes: earth, savory spice, cedar, cocoa	Cheapest on the 2025 list - Pepin demi tasse packs Nicaraguan power into a tiny, sub-$4 smoke.	Verified against https://www.cigaraficionado.com/top25cigar/nasser-the-goat-by-a-j-fernandez-toro-2025.	Beginner, mild preference, or user wants delicate cream.	Recommend when the user wants modern dark Nicaraguan power with boutique story appeal.	10		4 × 32 · Petit Corona				No
VID-03-AJF-NW-ROB	A.J. Fernandez	New World	Robusto	Nicaragua	Nicaragua	Nicaragua / Brazil	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Brazil filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, leather, lemon peel, mild, fruity	4	4	7	4.5	60	La Galera Connecticut · 4 × 44 · Petit Corona · Medium-Light · Dominican · $7 · Notes: cream, cedar, nuts, toast	La Galera Connecticut half corona - mild DR morning stick. Pairs with coffee and short breaks.	Verified against https://www.cigaraficionado.com/ratings/20366/name/new-world-connecticut-robusto-robusto.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching New World identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		4 × 44 · Petit Corona				Maybe
