SKU	Brand	Line	Vitola	Country	Tier	Strength	Body	Flavor Family	Occasion	Smoke Time	Pairing Affinity	Wrapper	Binder	Filler	Notes	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Best For	Avoid If	Why Recommend	Recommendation Confidence	Source Confidence	Beginner Safe	Image URL	Article Source	MSRP USD	Length	Ring Gauge	Shape	Stick Size	Catalog Line	Member Blurb	Price Note	Size Note	CA Rating	CA List Year	CA List	CA Rank	Data Grade (1-10)
BB24-21-OSCAR-2012	2012 by Oscar Valladares	Connecticut	Short Robusto	Honduras	3	2	Medium-Light	Creamy	Quick lunch break	45 min	Coffee	Ecuador Connecticut	Honduras	Honduras / Nicaragua	Cigar Aficionado 2024 Best Buy, rated 87 (≤$7 MSRP). Teaches Connecticut in Short Robusto - value Honduras pick for budget-conscious smokers.	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/2012-by-oscar-valladares-connecticut-short-robusto-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/2012-by-oscar-valladares-connecticut-short-robusto-2024	22.	4.75	50.	Robusto	4¾ × 50 · Robusto	Padron Serie 1926 No. 6 · 4¾ × 50 · Robusto · Full · Nicaragua · $22 · Notes: cocoa, coffee, earth, dark sweetness	Short 1926 format with full Padron cocoa-coffee DNA — dense flavor in under an hour. Collector 1926 without committing to a double corona.			87	2024	Best Buy		10
CA24-18-601-WARHEAD	601	La Bomba	Warhead X	Nicaragua	6	5	Full	Dark & Heavy	Special occasion	60 min	Bourbon	Nicaragua	Nicaragua	Nicaragua	Cigar Aficionado 2024 #18, rated 92. Teaches La Bomba identity in Warhead X format - regional character, construction, and Top 25 prestige.	Nicaragua wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cocoa, earth, pepper, espresso, dark sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/601-la-bomba-warhead-x-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, La Bomba, or a full bourbon-friendly smoke at this size.	High	Cigar Aficionado official review	No		https://www.cigaraficionado.com/top25cigar/601-la-bomba-warhead-x-2024	7.	4.	42.	Petit Corona	4 × 42 · Petit Corona	Oliva Connecticut Reserve · 4 × 42 · Petit Corona · Medium-Light · Nicaragua · $7 · Notes: cream, cedar, nuts, toast	Oliva Connecticut petit corona - cream, cedar, beginner-safe. Pairs with coffee breaks.			92	2024	Top 25	18	10
BB24-17-7204-DOG	7-20-4	Factory 57	Dog Walker	Honduras	3	3	Medium	Savory	Quick lunch break	30 min	Coffee	Honduras	Honduras	Honduras / Nicaragua	Cigar Aficionado 2024 Best Buy, rated 88 (≤$7 MSRP). Teaches Factory 57 in Dog Walker - value Honduras pick for budget-conscious smokers.	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, spice, earth, leather, toasted tobacco	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/7-20-4-factory-57-dog-walker-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/7-20-4-factory-57-dog-walker-2024	18.	4.63	54.	Robusto	4.625 × 54 · Robusto	Davidoff Zino Platinum Crown Series · 4.625 × 54 · Robusto · Medium · Dominican · $18 · Notes: cream, cedar, nuts, toast	Davidoff Zino platinum polish - cream, toast, and champagne-friendly elegance in a chubby 54-ring.			88	2024	Best Buy		10
VID-06-AJF-BELLAS-ROB	A.J. Fernandez	Bellas Artes	Maduro Robusto	Nicaragua	4	3	Medium	Coffee	After dinner	60 min	Bourbon	Brazilian Mata Fina	Mexico	Nicaragua / Honduras	Sterlon teaching catalog (video transcript). Teaches Bellas Artes in Maduro Robusto - Nicaragua character and Sterlon regional/flavor identity.	Brazilian Mata Fina wrapper sets top-note, color, and burn for this vitola.	Mexico binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	anise, coffee, cashew, tangy, acidity	Verified against https://www.cigaraficionado.com/rating/bellas-artes-maduro-robusto.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching Bellas Artes identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/rating/bellas-artes-maduro-robusto	12.	6.5	52.	Pyramid	6½ × 52 · Pyramid	Cuesta-Rey Centro Fino Sungrown Pyramid No. 9 · 6½ × 52 · Pyramid · Medium-Full · Dominican · $12 · Notes: sweet spice, cedar, toasted tobacco, earth	Fuente-made Dominican with Ecuador sungrown lift — sweeter spice and cedar in a pyramid that smokes richer than a mild Connecticut.							10
VID-05-AJF-DDG-TORO	A.J. Fernandez	Dias de Gloria	Toro	Nicaragua	4	4	Medium-Full	Woodsy	Celebration	90 min	Rum	Nicaragua	Nicaragua	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Dias de Gloria in Toro - Nicaragua character and Sterlon regional/flavor identity.	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	leather, pepper, cinnamon, café au lait, dark chocolate	Verified against https://www.cigaraficionado.com/ratings/25666/name/dias-de-gloria-brazil-toro.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Dias de Gloria identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/25666/name/dias-de-gloria-brazil-toro	11.	7.	58.	Churchill	7 × 58 · Churchill	Romeo y Julieta Wide Churchill · 7 × 58 · Churchill · Medium · Dominican · $11 · Notes: cedar, wood, earth, leather	Wide Churchill format — Indonesian wrapper and long, easy-burning Dominican session. Mild-to-medium crowd-pleaser.							10
VID-09-AJF-ENCLAVE-ROB	A.J. Fernandez	Enclave Broadleaf	Robusto	Nicaragua	4	4	Medium-Full	Coffee	After dinner	60 min	Bourbon	Connecticut Broadleaf	Nicaragua	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Enclave Broadleaf in Robusto - Nicaragua character and Sterlon regional/flavor identity.	Connecticut Broadleaf wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	earth, mineral, milk chocolate, vanilla, anise	Verified against https://www.cigaraficionado.com/top25cigar/enclave-broadleaf-churchill-2019.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Enclave Broadleaf identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/top25cigar/enclave-broadleaf-churchill-2019	14.	6.	52.	Toro	6 × 52 · Toro	Arturo Fuente Rosado Sungrown Fifty-Two · 6 × 52 · Toro · Medium-Full · Dominican · $14 · Notes: cedar, baking spice, sweet tobacco, toast	Fuente rosado sungrown spice - cedar, red pepper, and polished Ecuador wrapper over classic Dominican core. Special-occasion Fuente without OpusX.							10
VID-07-AJF-AMISTAD-ROB	A.J. Fernandez	Hoyo La Amistad Dark Sumatra	Robusto	Nicaragua	4	4	Medium-Full	Savory	After dinner	60 min	Rum	Ecuador Sumatra	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Hoyo La Amistad Dark Sumatra in Robusto - Nicaraguan A.J. Fernandez production, dark Sumatra profile, and fuller-bodied regional/flavor identity.	Sterlon teaching catalog (video transcript). Teaches Hoyo La Amistad Dark Sumatra in Robusto - Nicaraguan A.J. Fernandez production, dark Sumatra profile, and fuller-bodied regional/flavor identity.	Ecuador Sumatra wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	earth, cocoa, leather, pepper, cedar	Verified against https://www.cigaraficionado.com/top25cigar/enclave-broadleaf-churchill-2019.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Hoyo La Amistad Dark Sumatra identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/article/a-j-fernandez-producing-hoyo-la-amistad-dark-sumatra-for-general-cigar	6.	5.	42.	Corona	5 × 42 · Corona	Cain Daytona No. 4 · 5 × 42 · Corona · Medium-Light · Nicaragua · $6 · Notes: cream, cedar, nuts, toast	Mild Connecticut Nicaraguan - cream and gentle spice for morning or new smokers. Budget backup stick.							10
VID-10-AJF-LASTCALL-COR	A.J. Fernandez	Last Call Maduro	Corona	Nicaragua	3	3	Medium	Coffee	Quick lunch break	45 min	Coffee	San Andrés Maduro	Nicaragua	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Last Call Maduro in Corona - Nicaragua character and Sterlon regional/flavor identity.	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	oak, vanilla, toasty, charry	Verified against https://www.cigaraficionado.com/ratings/21078/name/last-call-maduro-by-aj-fernandez-corticas-odd.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching Last Call Maduro identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/ratings/21078/name/last-call-maduro-by-aj-fernandez-corticas-odd	7.	6.	60.	Gordo	6 × 60 · Gordo	Punch Knuckle Buster Shade · 6 × 60 · Gordo · Medium-Light · Honduras · $7 · Notes: cream, cedar, nuts, toast	Long-session Knuckle Buster gordo - mild shade for movie-length smokes on a budget.							10
CA25-07-NASSER-GOAT	A.J. Fernandez	Nasser The Goat	Toro	Nicaragua	5	5	Medium-Full	Dark & Heavy	After dinner	90 min	Bourbon	Mexico	Nicaragua	Nicaragua	Cigar Aficionado 2025 #7, rated 95. Teaches A.J. Fernandez Nicaraguan power with Mexican San Andres wrapper and an unusual Haiti-origin retail story.	Mexican San Andres wrapper adds dark earth, cocoa, and sweetness.	Nicaraguan binder gives structure and A.J. Fernandez intensity.	Nicaraguan filler drives pepper, body, and dark regional strength.	chocolate-covered almonds, vanilla, earth, coffee, raisin, coconut rum cake	Verified against https://www.cigaraficionado.com/top25cigar/nasser-the-goat-by-a-j-fernandez-toro-2025.	Beginner, mild preference, or user wants delicate cream.	Recommend when the user wants modern dark Nicaraguan power with boutique story appeal.	High	Cigar Aficionado 2025 Top 25 review tasting prose	No	https://mshanken.imgix.net/cao/bolt/2025-12/1765893667_top7-ratingh.jpg	https://www.cigaraficionado.com/top25cigar/nasser-the-goat-by-a-j-fernandez-toro-2025	3.	6.5	44.	Petit Corona	4 × 32 · Petit Corona	Don Pepin Garcia Original · 4 × 32 · Petit Corona · Medium-Full · Nicaragua · $3 · Notes: earth, savory spice, cedar, cocoa	Cheapest on the 2025 list - Pepin demi tasse packs Nicaraguan power into a tiny, sub-$4 smoke.			95	2025	Top 25	7	10
VID-03-AJF-NW-ROB	A.J. Fernandez	New World	Robusto	Nicaragua	4	4	Medium-Full	Savory	After dinner	60 min	Bourbon	Nicaragua	Nicaragua	Nicaragua / Brazil	Sterlon teaching catalog (video transcript). Teaches New World in Robusto - Nicaragua character and Sterlon regional/flavor identity.	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Brazil filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, leather, lemon peel, mild, fruity	Verified against https://www.cigaraficionado.com/ratings/20366/name/new-world-connecticut-robusto-robusto.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching New World identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/20366/name/new-world-connecticut-robusto-robusto	7.	4.5	60.	Petit Corona	4 × 44 · Petit Corona	La Galera Connecticut · 4 × 44 · Petit Corona · Medium-Light · Dominican · $7 · Notes: cream, cedar, nuts, toast	La Galera Connecticut half corona - mild DR morning stick. Pairs with coffee and short breaks.							10
